Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
MISC,3390.0,5.19905,0.02312,15.69867294,2407.29427,0.10422823,7.08033,4.9440002441406605,0.43799972534179066
MISC,3217.0,8.51176,0.01165,25.30273455,15615.36421,0.10426174,6.79224,5.693000316619889,0.28900003433227006
RR,5704.0,0.3043,0.00628,0.40128452,1022.93736,0.40171058,8.02409,1.6800003051758008,3.397000312805149
ED,4842.0,0.17306,0.01367,1.48282134,43.4738,1.48106882,14.45753,2.558000564575199,4.37699985504155
DCEP,4627.0,10.30832,0.09529,16.37271647,15804.92442,13.916809,7.22813,2.5340003967284996,2.0349998474121502
MISC,2951.0,0.35014,0.00284,9.270711,156.44133,0.10409887,7.31019,6.26399946212767,1.0469999313354403
DCEP,3552.0,3.11244,0.02326,8.18635824,6879.35423,8.21724508,10.1244,4.39099979400639,0.6429996490478516
DCEP,4914.0,1.29819,0.01856,3.09262422,6065.57988,6.18937986,8.17579,2.2139997482298988,2.5890007019042596
DCEP,5985.0,2.15204,0.02878,4.71756237,10429.61831,4.7302166,8.89457,2.030000686645499,3.56500053405766
DCEP,3640.0,0.32301,0.00988,4.63883467,745.35245,4.62123529,9.74282,4.1429996490478995,2.6610002517700195
DCEP,4748.0,0.80029,0.01709,2.92985453,1351.19311,2.89038983,8.71247,2.394000053405801,3.29599952697753
EC,5619.0,1.16527,0.01088,0.15922773,4115.62301,0.31827016,10.12225,1.6649999618530007,2.4720001220703303
ED,4795.0,0.03442,0.00669,0.28842495,546.66336,0.57752716,9.91844,2.3409996032715004,3.2939996719359996
